JKT,JKM,GRS,LT,LB,Category
3,2,2,137,170,Sedang
3,2,3,202,300,Mahal
5,2,1,350,258,Mahal
2,2,1,30,80,Murah
5,3,1,184,234,Mahal
2,1,1,65,45,Sedang
4,3,2,260,260,Sedang
5,3,2,404,250,Mahal
4,3,2,172,220,Sedang
2,2,1,137,160,Sedang
6,3,6,188,260,Mahal
5,5,1,184,250,Mahal
4,3,7,400,400,Mahal
4,3,0,222,196,Mahal
3,2,2,74,78,Sedang
6,5,2,187,370,Sedang
4,1,0,180,90,Murah
2,3,1,270,450,Mahal
2,2,1,38,114,Sedang
4,1,0,97,90,Sedang
3,2,2,245,190,Sedang
5,2,3,350,258,Mahal
4,2,4,240,200,Mahal
3,2,0,137,170,Sedang
3,2,0,126,98,Sedang
2,1,0,100,60,Murah
4,3,0,394,420,Mahal
3,2,0,233,230,Sedang
3,3,0,159,130,Sedang
3,3,1,63,63,Sedang
6,4,0,143,288,Mahal
8,4,0,269,439,Mahal
4,3,1,240,200,Mahal
4,3,2,158,150,Sedang
4,2,0,85,80,Murah
1,1,0,22,46,Murah
5,4,1,170,350,Sedang
4,1,1,97,90,Sedang
3,2,0,198,175,Sedang
4,2,2,134,220,Sedang
4,1,1,120,110,Murah
2,1,1,240,200,Sedang
2,2,1,31,77,Murah
2,2,0,137,160,Sedang
2,2,1,72,65,Sedang
4,2,2,200,150,Sedang
5,3,0,56,95,Murah
3,2,1,70,116,Sedang
4,2,1,89,145,Sedang
7,4,2,364,500,Mahal
3,1,0,200,180,Sedang
6,3,2,161,200,Sedang
4,2,1,120,100,Sedang
5,4,1,170,350,Sedang
3,1,0,125,115,Murah
4,3,0,400,400,Mahal
4,3,1,202,300,Mahal
3,2,2,49,72,Sedang
4,4,4,178,250,Sedang
4,3,1,158,150,Sedang
3,1,0,38,70,Murah
3,2,2,510,300,Mahal
5,4,0,270,160,Mahal
4,2,0,168,165,Sedang
2,2,1,39,52,Murah
4,3,2,104,125,Sedang
2,2,1,39,525,Murah
4,4,0,153,167,Sedang
5,4,2,392,260,Mahal
4,4,1,228,450,Sedang
3,2,1,235,150,Mahal
3,2,2,140,90,Sedang
4,4,2,160,226,Mahal
3,2,0,202,360,Mahal
5,3,1,184,234,Mahal
2,2,0,137,160,Sedang
4,1,2,97,120,Sedang
4,4,1,127,250,Mahal
4,3,1,259,270,Sedang
4,2,0,140,160,Sedang
4,4,6,550,250,Mahal
4,2,3,240,200,Mahal
5,3,0,475,300,Mahal
5,4,1,195,320,Mahal
4,3,1,255,350,Mahal
3,1,0,71,65,Murah
3,5,2,316,250,Mahal
4,3,2,625,457,Mahal
3,2,1,129,100,Sedang
5,3,2,475,300,Mahal
2,2,0,165,300,Mahal
6,3,2,253,180,Mahal
2,1,0,32,60,Murah
3,1,1,350,258,Sedang
4,3,2,202,300,Mahal
3,2,0,49,72,Sedang
3,2,1,196,150,Sedang
2,2,4,216,273,Sedang
2,2,0,216,273,Sedang
6,3,2,187,370,Sedang
3,2,1,126,98,Sedang
7,3,1,140,300,Sedang
4,3,5,394,420,Mahal
5,4,1,170,350,Sedang
3,2,0,70,116,Sedang
3,2,0,204,100,Mahal
4,3,3,202,300,Mahal
4,3,0,255,350,Mahal
3,2,1,129,98,Sedang
3,2,1,151,180,Sedang
2,2,0,270,450,Mahal
2,1,1,78,45,Murah
5,4,0,87,150,Sedang
3,3,1,184,300,Mahal
3,2,0,107,100,Mahal
3,2,2,140,90,Sedang
3,2,1,200,150,Sedang
3,2,1,74,100,Sedang
3,2,0,127,128,Sedang
2,1,0,41,35,Murah
